stem,keep_frac,gtm_vs_gt_psnr_keep,unmasked_split,unmasked_psnr_full,unmasked_psnr_keep,unmasked_psnr_excl,native_prompt_split,native_prompt_psnr_full,native_prompt_psnr_keep,native_prompt_psnr_excl,masked_split,masked_psnr_full,masked_psnr_keep,masked_psnr_excl
DJI_0089,0.841744,40.627586364746094,train,34.71281433105469,35.226810455322266,32.68880844116211,train,35.308902740478516,35.86407470703125,33.16505432128906,train,10.758204460144043,31.87495994567871,2.7801661491394043
DJI_0090,0.840784,40.21421813964844,train,33.791526794433594,34.26544952392578,31.899612426757812,train,34.420555114746094,34.8121223449707,32.79105758666992,test,10.638629913330078,29.304073333740234,2.7084338665008545
DJI_0091,0.83232,40.38766860961914,test,26.691532135009766,26.455120086669922,28.104328155517578,test,26.931991577148438,26.59161376953125,29.184528350830078,train,10.4522123336792,30.451717376708984,2.733328104019165
DJI_0092,0.824576,39.90760040283203,train,28.912351608276367,29.24724578857422,27.61274528503418,train,28.986722946166992,29.345565795898438,27.61075210571289,train,10.276876449584961,30.650035858154297,2.750753402709961
DJI_0093,0.8192693333333333,40.08735656738281,train,28.69573211669922,29.230012893676758,26.863784790039062,train,28.97361946105957,29.60623550415039,26.893308639526367,train,10.225640296936035,30.351398468017578,2.830662488937378
DJI_0094,0.8142773333333333,40.16912078857422,train,29.125667572021484,30.14691925048828,26.29549789428711,train,29.400102615356445,30.336856842041016,26.726848602294922,train,10.31130313873291,29.75859832763672,3.040301561355591
DJI_0095,0.811408,40.65800094604492,train,29.006555557250977,30.13872528076172,26.023845672607422,train,29.324932098388672,30.46817970275879,26.32380485534668,train,10.462943077087402,30.277841567993164,3.2551052570343018
DJI_0096,0.8108266666666667,40.785255432128906,train,28.445613861083984,29.491947174072266,25.617870330810547,train,29.00130271911621,29.94982147216797,26.35089683532715,train,10.603842735290527,29.399282455444336,3.419161319732666
DJI_0097,0.8094666666666667,40.727142333984375,train,27.937713623046875,29.019275665283203,25.06739044189453,train,28.287389755249023,29.26959228515625,25.59244155883789,train,10.681853294372559,28.78481674194336,3.5363173484802246
DJI_0098,0.8048906666666666,40.377227783203125,train,27.792800903320312,28.648500442504883,25.39291763305664,train,28.382017135620117,28.825428009033203,26.919479370117188,test,10.772573471069336,24.302799224853516,3.8332486152648926
DJI_0099,0.8023253333333333,40.54043197631836,test,24.03976058959961,23.747758865356445,25.480213165283203,test,24.159297943115234,23.89137077331543,25.456932067871094,train,10.944823265075684,30.201730728149414,3.94587779045105
DJI_0100,0.790672,40.891971588134766,train,29.836803436279297,30.071565628051758,29.049480438232422,train,30.60239601135254,30.700838088989258,30.249479293823242,train,10.84231185913086,28.016887664794922,4.116901874542236
DJI_0101,0.7822826666666667,40.99127197265625,train,29.060333251953125,28.98308753967285,29.349794387817383,train,29.305213928222656,29.46822738647461,28.76533317565918,train,10.7047758102417,27.93605613708496,4.148458480834961
DJI_0102,0.774704,40.97976303100586,train,28.5308837890625,28.53211212158203,28.52666473388672,train,28.738353729248047,28.750442504882812,28.697036743164062,train,10.546213150024414,29.746990203857422,4.1143798828125
DJI_0103,0.7661866666666667,40.05153274536133,train,29.511837005615234,29.428058624267578,29.798290252685547,train,29.300296783447266,29.541236877441406,28.593090057373047,train,10.443893432617188,28.067873001098633,4.1904778480529785
DJI_0104,0.7503253333333333,40.727088928222656,train,28.245437622070312,27.705150604248047,30.450302124023438,train,27.573341369628906,27.155105590820312,29.146024703979492,train,10.299386978149414,28.663070678710938,4.320890426635742
DJI_0105,0.7454773333333333,40.09746170043945,train,31.627212524414062,31.125869750976562,33.55455780029297,train,31.59021759033203,31.133087158203125,33.29785919189453,train,10.149290084838867,26.53069496154785,4.281688213348389
DJI_0106,0.745664,40.96369934082031,train,31.222427368164062,30.638877868652344,33.60037612915039,train,30.989147186279297,30.433504104614258,33.2087287902832,test,10.134429931640625,25.85689926147461,4.276097774505615
DJI_0107,0.713088,40.550865173339844,test,22.835750579833984,21.764724731445312,27.9945068359375,test,22.443252563476562,21.393003463745117,27.390974044799805,train,9.783721923828125,26.191213607788086,4.4326171875
DJI_0108,0.700272,40.29395294189453,train,29.625446319580078,29.151432037353516,30.98888397216797,train,29.300304412841797,29.12306022644043,29.744977951049805,train,9.484376907348633,28.337703704833984,4.2914347648620605
DJI_0109,0.664448,39.224220275878906,train,29.846532821655273,29.564306259155273,30.466106414794922,train,28.435951232910156,29.223575592041016,27.202547073364258,train,8.848612785339355,28.02751922607422,4.141214847564697
DJI_0110,0.7099733333333333,39.13168716430664,train,30.643157958984375,30.832019805908203,30.212787628173828,train,30.255779266357422,30.510986328125,29.68785858154297,train,8.773778915405273,29.468399047851562,3.4245152473449707
